"file","ids_tags","url_tags","styles_tags","translate_scale_tag"
"mean_enrichment--T2h--med--label-y_pc.svg",TRUE,TRUE,TRUE,TRUE
"abundances--T0--cell--label-n_pc.svg",TRUE,TRUE,TRUE,TRUE
"bars_cell_Hexose-total_abundance.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment-cell-L-Methionine.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment-med-L-Threonine.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment-cell-Fumaric_acid.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment--T0--med--label-n_pc.svg",TRUE,TRUE,TRUE,TRUE
"bars_med_Pyruvic_acid-total_abundance.svg",TRUE,TRUE,TRUE,TRUE
"Isotopologues_med-Glycine.svg",TRUE,TRUE,TRUE,TRUE
"legend-abundances-cell.svg",FALSE,TRUE,TRUE,TRUE
"Isotopologues_cell-L-Lysine.svg",TRUE,TRUE,TRUE,TRUE
"bars_med_L-Threonine-total_abundance.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment-med-L-Arginine.svg",TRUE,TRUE,TRUE,TRUE
"bars_cell_Ile_Leu-total_abundance.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment-med-L-Methionine.svg",TRUE,TRUE,TRUE,TRUE
"bars_cell_L-Tryptophan-total_abundance.svg",TRUE,TRUE,TRUE,TRUE
"abundances--cell_var.svg",TRUE,TRUE,TRUE,TRUE
"Isotopologues_cell-Glycine.svg",TRUE,TRUE,TRUE,TRUE
"Isotopologues_cell-L-Valine.svg",TRUE,TRUE,TRUE,TRUE
"bars_med_L-Lysine-total_abundance.svg",TRUE,TRUE,TRUE,TRUE
"bars_med_L-Alanine-total_abundance.svg",TRUE,TRUE,TRUE,TRUE
"Isotopologues_cell-L-Alanine.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment--T0--cell--label-n_pc.svg",TRUE,TRUE,TRUE,TRUE
"abundances--cell--label-n_pc.svg",TRUE,TRUE,TRUE,TRUE
"bars_cell_L-Threonine-total_abundance.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment-med-L-Phenylalanine.svg",TRUE,TRUE,TRUE,TRUE
"Isotopologues_med-Pyruvic_acid.svg",TRUE,TRUE,TRUE,TRUE
"abundances--med--label-y_pc.svg",TRUE,TRUE,TRUE,TRUE
"bars_cell_L-Tyrosine-total_abundance.svg",TRUE,TRUE,TRUE,TRUE
"Isotopologues_med-L-Threonine.svg",TRUE,TRUE,TRUE,TRUE
"Isotopologues_cell-L-Malic_acid.svg",TRUE,TRUE,TRUE,TRUE
"bars_med_Hexose-phosphate-total_abundance.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment--med_var.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment--T2h--cell--label-n_pc.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment-cell-L-Tryptophan.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment--cell--label-y_pc.svg",TRUE,TRUE,TRUE,TRUE
"abundances--T2h--med_var.svg",TRUE,TRUE,TRUE,TRUE
"Isotopologues_cell-L-Aspartic_acid.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment-cell-L-Alanine.svg",TRUE,TRUE,TRUE,TRUE
"Isotopologues_cell-L-Tyrosine.svg",TRUE,TRUE,TRUE,TRUE
"legend.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment-med-L-Valine.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment-cell-Glycine.svg",TRUE,TRUE,TRUE,TRUE
"CENTRAL_CARBON_METABOLISM-L-Cycloserine-T0-Control-T0--DEG_comparison_1-abundances-cell.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment-cell-L-Arginine.svg",TRUE,TRUE,TRUE,TRUE
"bars_cell_L-Malic_acid-total_abundance.svg",TRUE,TRUE,TRUE,TRUE
"bars_med_Ile_Leu-total_abundance.svg",TRUE,TRUE,TRUE,TRUE
"bars_cell_L-Valine-total_abundance.svg",TRUE,TRUE,TRUE,TRUE
"AMINOACIDS-L-Cycloserine-T0-Control-T0--DEG_comparison_1-abundances-cell.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment-cell-L-Glutamine.svg",TRUE,TRUE,TRUE,TRUE
"Isotopologues_cell-Ile_Leu.svg",TRUE,TRUE,TRUE,TRUE
"Isotopologues_med-L-Alanine.svg",TRUE,TRUE,TRUE,TRUE
"Isotopologues_med-L-Valine.svg",TRUE,TRUE,TRUE,TRUE
"Isotopologues_cell-L-Phenylalanine.svg",TRUE,TRUE,TRUE,TRUE
"abundances--med--label-n_pc.svg",TRUE,TRUE,TRUE,TRUE
"bars_cell_L-Phenylalanine-total_abundance.svg",TRUE,TRUE,TRUE,TRUE
"bars_med_L-Methionine-total_abundance.svg",TRUE,TRUE,TRUE,TRUE
"Isotopologues_cell-L-Tryptophan.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment-med-L-Lactic_acid.svg",TRUE,TRUE,TRUE,TRUE
"abundances--T2h--med--label-n_pc.svg",TRUE,TRUE,TRUE,TRUE
"Isotopologues_med-L-Arginine.svg",TRUE,TRUE,TRUE,TRUE
"bars_med_L-Histidine-total_abundance.svg",TRUE,TRUE,TRUE,TRUE
"bars_med_L-Serine-total_abundance.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment-med-L-Proline.svg",TRUE,TRUE,TRUE,TRUE
"abundances--T0--med--label-n_pc.svg",TRUE,TRUE,TRUE,TRUE
"Isotopologues_med-Ile_Leu.svg",TRUE,TRUE,TRUE,TRUE
"Isotopologues_cell-L-Threonine.svg",TRUE,TRUE,TRUE,TRUE
"bars_cell_Hexose-phosphate-total_abundance.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment--cell_var.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment-cell-L-Aspartic_acid.svg",TRUE,TRUE,TRUE,TRUE
"bars_cell_L-Serine-total_abundance.svg",TRUE,TRUE,TRUE,TRUE
"Isotopologues_med-L-Proline.svg",TRUE,TRUE,TRUE,TRUE
"Isotopologues_med-L-Asparagine.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment--T2h--cell--label-y_pc.svg",TRUE,TRUE,TRUE,TRUE
"Isotopologues_cell-Hexose-phosphate.svg",TRUE,TRUE,TRUE,TRUE
"abundances--T2h--med--label-y_pc.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment-cell-L-Tyrosine.svg",TRUE,TRUE,TRUE,TRUE
"bars_cell_L-Lactic_acid-total_abundance.svg",TRUE,TRUE,TRUE,TRUE
"bars_cell_Glycine-total_abundance.svg",TRUE,TRUE,TRUE,TRUE
"abundances--T0--med--label-y_pc.svg",TRUE,TRUE,TRUE,TRUE
"bars_med_L-Tyrosine-total_abundance.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment-cell-L-Histidine.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment-cell-Hexose.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment-med-Hexose-phosphate.svg",TRUE,TRUE,TRUE,TRUE
"bars_med_Hexose-total_abundance.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment--T0--med--label-y_pc.svg",TRUE,TRUE,TRUE,TRUE
"abundances--med_var.svg",TRUE,TRUE,TRUE,TRUE
"bars_cell_Pyruvic_acid-total_abundance.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment-med-Hexose.svg",TRUE,TRUE,TRUE,TRUE
"Isotopologues_med-L-Tryptophan.svg",TRUE,TRUE,TRUE,TRUE
"abundances--cell--label-y_pc.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment-med-L-Lysine.svg",TRUE,TRUE,TRUE,TRUE
"Isotopologues_cell-L-Methionine.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment--T2h--med_var.svg",TRUE,TRUE,TRUE,TRUE
"bars_med_L-Proline-total_abundance.svg",TRUE,TRUE,TRUE,TRUE
"Isotopologues_cell-L-Lactic_acid.svg",TRUE,TRUE,TRUE,TRUE
